id,name,lat,lon,stopPlaceId,cluster_id
NSR:Quay:10931,Vollebekk,59.936266,10.833249,NSR:Quay:10931,69
NSR:Quay:10856,Ulven torg,59.925512,10.811867,NSR:Quay:10856,68
NSR:Quay:11072,Lørenvangen,59.932984,10.797565,NSR:Quay:11072,580
NSR:Quay:11068,Sinsenveien,59.934647,10.79248,NSR:Quay:11068,67
NSR:Quay:11100,Sinsenkrysset,59.937186,10.786286,NSR:Quay:11100,66
NSR:Quay:11111,Grefsen stasjon,59.941338,10.781617,NSR:Quay:11111,65
NSR:Quay:11130,Storo,59.945849,10.779321,NSR:Quay:11130,64
NSR:Quay:11150,Lillo terrasse,59.951602,10.774734,NSR:Quay:11150,63
NSR:Quay:11138,Nydalen stasjon,59.953114,10.769351,NSR:Quay:11138,62
NSR:Quay:11353,Bergrådveien,59.953309,10.757064,NSR:Quay:11353,61
NSR:Quay:11343,Tåsen senter,59.952806,10.751184,NSR:Quay:11343,60
NSR:Quay:11322,Berg,59.951886,10.743148,NSR:Quay:11322,59
NSR:Quay:11311,Ullevål stadion,59.949438,10.729877,NSR:Quay:11311,581
NSR:Quay:11486,Gaustad,59.946275,10.712212,NSR:Quay:11486,73
NSR:Quay:11457,Risbakken,59.943752,10.700112,NSR:Quay:11457,74
NSR:Quay:11959,Smestad,59.937192,10.681635,NSR:Quay:11959,75
NSR:Quay:11993,Montebelloveien,59.930498,10.665356,NSR:Quay:11993,582
NSR:Quay:12016,Radiumhospitalet,59.928955,10.658938,NSR:Quay:12016,76
NSR:Quay:11685,Huseby skole,59.945273,10.655167,NSR:Quay:11685,77
NSR:Quay:11731,Røa T,59.946725,10.642603,NSR:Quay:11731,78
NSR:Quay:11742,Kristian Auberts vei,59.940795,10.641128,NSR:Quay:11742,79
NSR:Quay:12055,Møllefaret,59.937311,10.640345,NSR:Quay:12055,80
NSR:Quay:12052,Lysejordet,59.933422,10.639409,NSR:Quay:12052,81
NSR:Quay:12046,Lyseveien,59.930587,10.638556,NSR:Quay:12046,82
NSR:Quay:12041,Bjørnsletta,59.927564,10.638824,NSR:Quay:12041,83
NSR:Quay:12021,Blokkajordet,59.924967,10.647686,NSR:Quay:12021,84
NSR:Quay:12013,Radiumhospitalet,59.928838,10.659804,NSR:Quay:12013,76
NSR:Quay:11996,Montebelloveien,59.931737,10.668878,NSR:Quay:11996,583
NSR:Quay:12022,Blokkajordet,59.924959,10.647155,NSR:Quay:12022,84
NSR:Quay:12042,Bjørnsletta,59.927346,10.639272,NSR:Quay:12042,83
NSR:Quay:12048,Lyseveien,59.930454,10.638746,NSR:Quay:12048,82
NSR:Quay:12051,Lysejordet,59.934113,10.639915,NSR:Quay:12051,81
NSR:Quay:12056,Møllefaret,59.938,10.640849,NSR:Quay:12056,80
NSR:Quay:11741,Kristian Auberts vei,59.940666,10.641246,NSR:Quay:11741,79
NSR:Quay:11730,Røa T,59.947247,10.643115,NSR:Quay:11730,78
NSR:Quay:11684,Huseby skole,59.94487,10.656309,NSR:Quay:11684,77
NSR:Quay:11989,Oslo bussterminal,59.911829,10.758367,NSR:Quay:11989,1
NSR:Quay:7717,Filipstadveien,59.908488,10.712882,NSR:Quay:7717,2
NSR:Quay:12312,Fiskevollen,59.840763,10.779259,NSR:Quay:12312,85
NSR:Quay:12307,Gladvollveien,59.848211,10.778629,NSR:Quay:12307,86
NSR:Quay:12302,Katten,59.855214,10.784524,NSR:Quay:12302,87
NSR:Quay:12299,Vølund,59.860011,10.785798,NSR:Quay:12299,584
NSR:Quay:12296,Nordstrand bad,59.866085,10.783746,NSR:Quay:12296,585
NSR:Quay:12207,Ulvøybrua,59.873359,10.779323,NSR:Quay:12207,88
NSR:Quay:12204,Nedre Bekkelaget,59.880847,10.773522,NSR:Quay:12204,89
NSR:Quay:12197,Bekkelagsveien,59.884592,10.769134,NSR:Quay:12197,90
NSR:Quay:12148,Kongshavn,59.894428,10.758654,NSR:Quay:12148,91
NSR:Quay:11977,Oslo bussterminal,59.911809,10.758475,NSR:Quay:11977,1
NSR:Quay:12149,Kongshavn,59.894058,10.75844,NSR:Quay:12149,91
NSR:Quay:12198,Bekkelagsveien,59.883938,10.769372,NSR:Quay:12198,90
NSR:Quay:12202,Nedre Bekkelaget,59.881477,10.772296,NSR:Quay:12202,89
NSR:Quay:12206,Ulvøybrua,59.873207,10.779152,NSR:Quay:12206,88
NSR:Quay:12297,Nordstrand bad,59.86705,10.78307,NSR:Quay:12297,586
NSR:Quay:12298,Vølund,59.861479,10.784943,NSR:Quay:12298,587
NSR:Quay:12303,Katten,59.855455,10.784374,NSR:Quay:12303,87
NSR:Quay:12304,Ljansbakken,59.851454,10.781496,NSR:Quay:12304,588
NSR:Quay:12306,Gladvollveien,59.84819,10.778835,NSR:Quay:12306,86
NSR:Quay:12313,Fiskevollen,59.840626,10.778146,NSR:Quay:12313,85
NSR:Quay:7693,Tjuvholmen,59.909941,10.7221,NSR:Quay:7693,0
NSR:Quay:7791,Observatoriegata,59.912938,10.719789,NSR:Quay:7791,92
NSR:Quay:7747,Solli,59.915259,10.717343,NSR:Quay:7747,93
NSR:Quay:11474,Riddervolds plass,59.918324,10.718966,NSR:Quay:11474,94
NSR:Quay:8226,Uranienborgveien,59.9211,10.722552,NSR:Quay:8226,95
NSR:Quay:111170,Homansbyen,59.922892,10.725947,NSR:Quay:111170,96
NSR:Quay:11090,Carl Berners plass T,59.925922,10.777609,NSR:Quay:11090,14
NSR:Quay:11140,Helsfyr T,59.912481,10.801328,NSR:Quay:11140,28
NSR:Quay:101646,Kjelsåsalléen,59.963009,10.783969,NSR:Quay:101646,97
NSR:Quay:104007,Grefsen stadion,59.960314,10.784511,NSR:Quay:104007,98
NSR:Quay:104005,Grefsenplatået,59.955907,10.785669,NSR:Quay:104005,99
NSR:Quay:104009,Glads vei,59.952265,10.785262,NSR:Quay:104009,100
NSR:Quay:104011,Doktor Smiths vei,59.949529,10.790138,NSR:Quay:104011,101
NSR:Quay:104013,Disen,59.946322,10.787475,NSR:Quay:104013,102
NSR:Quay:104046,Storo,59.945282,10.778449,NSR:Quay:104046,64
NSR:Quay:104015,Grefsenveien,59.942512,10.773025,NSR:Quay:104015,103
NSR:Quay:11757,Sandaker senter,59.939298,10.768906,NSR:Quay:11757,104
NSR:Quay:7865,Huk,59.898559,10.674452,NSR:Quay:7865,105
NSR:Quay:7872,Ro,59.900862,10.675766,NSR:Quay:7872,106
NSR:Quay:7880,Frimurerhjemmet,59.901159,10.678904,NSR:Quay:7880,107
NSR:Quay:7891,Bygdøhus,59.901342,10.68223,NSR:Quay:7891,108
NSR:Quay:7904,Fredriksborg,59.903224,10.686878,NSR:Quay:7904,109
NSR:Quay:7913,Vikingskipene,59.90483,10.686787,NSR:Quay:7913,110
NSR:Quay:7922,Folkemuseet,59.907321,10.687415,NSR:Quay:7922,111
NSR:Quay:7856,Kongsgården,59.909243,10.681162,NSR:Quay:7856,112
NSR:Quay:7842,Karenslyst allé,59.918317,10.688734,NSR:Quay:7842,113
NSR:Quay:7836,Olav Kyrres plass,59.919187,10.697873,NSR:Quay:7836,114
NSR:Quay:7812,Frogner kirke,59.917466,10.707657,NSR:Quay:7812,115
NSR:Quay:104031,Solli,59.914873,10.719277,NSR:Quay:104031,93
