from,to,lineId,lineCode,mode,authority,travelTimeSec,tripsInFeed,tripsOn2025_11_17,distance_m,speed_m_s,speed_km_h,tripsPerDay
NSR:Quay:98643,NSR:Quay:10775,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,60.0,31,43,536.1639045554623,8.936065075924372,32.16983427332774,43.0
NSR:Quay:10775,NSR:Quay:10933,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,60.0,31,43,1006.2211119878193,16.770351866463656,60.37326671926916,43.0
NSR:Quay:10933,NSR:Quay:10926,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,60.0,31,43,916.9904831450797,15.283174719084661,55.01942898870478,43.0
NSR:Quay:10926,NSR:Quay:10931,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,60.0,31,43,298.595021182908,4.9765836863818,17.91570127097448,43.0
NSR:Quay:10931,NSR:Quay:10866,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,60.0,31,43,744.7708400417289,12.412847334028815,44.68625040250373,43.0
NSR:Quay:10866,NSR:Quay:10856,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,240.0,31,43,943.7781533618847,3.9324089723411864,14.156672300428271,43.0
NSR:Quay:10856,NSR:Quay:10832,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,120.0,31,43,419.9650698392,3.4997089153266665,12.598952095176,43.0
NSR:Quay:10832,NSR:Quay:11072,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,60.0,31,43,732.6580650413441,12.210967750689068,43.95948390248065,43.0
NSR:Quay:11072,NSR:Quay:11068,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,60.0,31,43,338.2914354887546,5.638190591479243,20.297486129325275,43.0
NSR:Quay:11068,NSR:Quay:11100,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,60.0,31,43,445.8225451067538,7.43037575177923,26.749352706405226,43.0
NSR:Quay:11100,NSR:Quay:11111,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,60.0,31,43,529.8880990729318,8.831468317882196,31.793285944375906,43.0
NSR:Quay:11111,NSR:Quay:11130,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,180.0,31,43,517.6422063220788,2.8757900351226597,10.352844126441575,43.0
NSR:Quay:11130,NSR:Quay:11150,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,60.0,31,43,688.8116574355653,11.480194290592754,41.32869944613392,43.0
NSR:Quay:11150,NSR:Quay:11138,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,60.0,31,43,343.64796328392845,5.727466054732141,20.618877797035708,43.0
NSR:Quay:11138,NSR:Quay:11353,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,60.0,31,43,684.435573829839,11.40725956383065,41.06613442979034,43.0
NSR:Quay:11353,NSR:Quay:11343,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,60.0,31,43,332.1203224038147,5.535338706730245,19.927219344228885,43.0
NSR:Quay:11343,NSR:Quay:11322,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,60.0,31,43,458.9705890576006,7.649509817626677,27.538235343456037,43.0
NSR:Quay:11322,NSR:Quay:11311,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,60.0,31,43,787.4765450106365,13.12460908351061,47.2485927006382,43.0
NSR:Quay:11311,NSR:Quay:11486,NBU:Line:cb7b555c-f96e-42d5-84bf-a5e08c0145c2,FB3,bus,Flybussen Connect,60.0,31,43,1044.6625605955307,17.411042676592178,62.67975363573184,43.0
