lineId,lineCode,authority,num_edges,total_travel_time_sec,avg_edge_time_sec,total_distance_m,avg_edge_distance_m,trips_per_day,commercial_speed_m_s,commercial_speed_km_h,vehicle_km_per_day,passengers_est_per_day,capacity_per_day,load_factor,speed_score,capacity_score,route_score
RUT:Line:2255,255E,Ruter,8,1260.0,157.5,10318.456474786484,1289.8070593483105,14.0,8.189251170465464,29.481304213675674,144.4583906470108,277.47660359245776,630.0,0.4404390533213615,0.3939039060353044,0.39380877583359697,0.39385634093445065
RUT:Line:2265,265E,Ruter,6,900.0,150.0,9909.10787523979,1651.5179792066317,16.0,11.010119861377545,39.63643150095916,158.54572600383665,304.5356477294753,720.0,0.422966177402049,0.6093060854798056,0.3630918796790606,0.48619898257943306
RUT:Line:23,23,Ruter,67,5520.0,82.38805970149254,36970.00909874075,551.7911805782202,198.0,6.6974654164385425,24.110875499178754,7320.061801550669,14060.42167356235,8910.0,1.5780495705457183,0.27999080411854704,0.05261486788105972,0.1663028359998034
RUT:Line:2300,300E,Ruter,8,1080.0,135.0,11673.355937820545,1459.169492227568,16.0,10.808662905389394,38.91118645940182,186.7736950051287,358.756111696369,720.0,0.498272377356068,0.5939227861706584,0.5029368469162119,0.5484298165434351
RUT:Line:2390,390E,Ruter,18,3060.0,170.0,24696.50833437111,1372.028240798395,38.0,8.070754357637616,29.05471568749542,938.4673167061022,1802.6140430876042,1710.0,1.0541602591155579,0.38485546226244205,0.7932924018055529,0.5890739320339975
RUT:Line:24,24,Ruter,42,4080.0,97.14285714285714,25549.488923376084,608.3211648422878,57.0,6.262129638082373,22.543666697096544,1456.320868632437,2797.310468149731,2565.0,1.0905693832942422,0.24674846435626357,0.7250460154556132,0.48589723990593836
RUT:Line:2400,400E,Ruter,8,720.0,90.0,11611.136150320091,1451.3920187900114,22.0,16.12657798655568,58.055680751600455,255.444995307042,490.66038590785047,990.0,0.49561655142207117,1.0,0.4977242610750944,0.7488621305375471
RUT:Line:2470,470E,Ruter,8,900.0,112.5,11586.533192548204,1448.3166490685255,10.0,12.873925769498005,46.34613277019282,115.86533192548204,222.55487294853637,450.0,0.4945663843300808,0.7516267315857669,0.4956673183752039,0.6236470249804854
RUT:Line:25,25,Ruter,98,7260.0,74.08163265306122,39609.686608628464,404.18047559824964,210.0,5.45587969815819,19.641166913369485,8318.034187811978,15977.333436033094,9450.0,1.6907231149241368,0.18518303424738652,0.019707579370768797,0.10244530680907767
RUT:Line:250,250,Ruter,8,1140.0,142.5,10318.456474786484,1289.8070593483105,190.0,9.051277609461827,32.58459939406258,1960.5067302094321,3765.753905897641,8550.0,0.4404390533213615,0.45972844239065014,0.39380877583359697,0.42676860911212355
RUT:Line:2505,505E,Ruter,2,240.0,120.0,814.2332031361778,407.1166015680889,24.0,3.3926383464007412,12.213498047042668,19.54159687526827,37.535624655905906,1080.0,0.034755208014727694,0.02763345197850204,0.024913238522725308,0.026273345250613672
RUT:Line:2540,540N,Ruter,22,1800.0,81.81818181818181,16547.986018281576,752.1811826491626,0.0,9.193325565711987,33.095972036563154,0.0,0.0,0.0,,0.47057525687035157,,
RUT:Line:26,26,Ruter,70,5760.0,82.28571428571429,30862.81076677846,440.8972966682637,46.0,5.358126869232372,19.289256729236538,1419.6892952718092,2726.948307012328,2070.0,1.3173663318900135,0.17771860583732868,0.29715328667245816,0.23743594625489342
RUT:Line:28,28,Ruter,48,4980.0,103.75,21640.956696229576,450.8532645047828,134.0,4.345573633781039,15.64406508161174,2899.8881972947634,5570.123854898811,6030.0,0.9237352993198692,0.10039980882190389,0.9702466429740717,0.5353232258979878
RUT:Line:2840,140E,Ruter,6,900.0,150.0,9909.10787523979,1651.5179792066317,20.0,11.010119861377545,39.63643150095916,198.1821575047958,380.6695596618441,900.0,0.422966177402049,0.6093060854798056,0.3630918796790606,0.48619898257943306
RUT:Line:2850,150E,Ruter,6,900.0,150.0,9909.10787523979,1651.5179792066317,24.0,11.010119861377545,39.63643150095916,237.81858900575497,456.8034715942129,1080.0,0.422966177402049,0.6093060854798056,0.3630918796790606,0.48619898257943306
RUT:Line:30,30,Ruter,62,6540.0,105.48387096774194,25929.677114684815,418.2205986239486,210.0,3.964782433438045,14.273216760376963,5445.232194083811,10459.236934728704,9450.0,1.1067975592305508,0.07132250553181428,0.6932524671299987,0.3822874863309065
RUT:Line:300,300,Ruter,14,2340.0,167.14285714285714,18273.80939905214,1305.2720999322958,229.0,7.809320256005188,28.113552921618677,4184.70235238294,8038.003127294385,10305.0,0.7800100075006682,0.36489229437229387,0.9731525371285312,0.6690224157504125
RUT:Line:3002,2B,Ruter,13,1680.0,129.23076923076923,9100.45487206367,700.0349901587439,0.0,5.416937423847423,19.50097472585072,0.0,0.0,0.0,,0.18220939326009447,,
RUT:Line:3003,3B,Ruter,18,3180.0,176.66666666666666,15556.654108310555,864.2585615728086,0.0,4.892029593808351,17.611306537710064,0.0,0.0,0.0,,0.1421273111120801,,
RUT:Line:3004,4B,Ruter,43,6660.0,154.88372093023256,32229.715714447044,749.528272429001,0.0,4.8392966538208775,17.421467953755158,0.0,0.0,0.0,,0.13810061173454002,,
RUT:Line:3005,5B,Ruter,23,4080.0,177.3913043478261,15981.55588655371,694.8502559371178,0.0,3.917048011410223,14.101372841076802,0.0,0.0,0.0,,0.06767749413073698,,
RUT:Line:3017,17B,Ruter,19,1560.0,82.10526315789474,6401.969855298543,336.945781857818,175.0,4.103826830319579,14.773776589150485,1120.344724677245,2151.9653352347646,7875.0,0.27326543939489073,0.08193996753007009,0.15756705180981065,0.11975350966994036
RUT:Line:3075,75C,Ruter,8,480.0,60.0,2064.7557857817237,258.09447322271546,23.0,4.301574553711925,15.48566839336293,47.48938307297964,91.21791169604322,1035.0,0.0881332480155007,0.09704002898848814,0.039768826311346726,0.06840442764991743
RUT:Line:3077,77X,Ruter,16,1200.0,75.0,7925.969638555353,495.3731024097096,38.0,6.604974698796128,23.77790891566606,301.18684626510344,578.5216267054817,1710.0,0.3383167407634396,0.2729281917315378,0.233504434666619,0.2532163131990784
RUT:Line:3080,80X,Ruter,8,2460.0,307.5,19558.709693078366,2444.838711634796,0.0,7.950694997186328,28.62250198987078,0.0,0.0,0.0,,0.37568770199510443,,
RUT:Line:3081,81X,Ruter,10,2580.0,258.0,18564.984132272402,1856.4984132272402,0.0,7.195730283826513,25.904629021775445,0.0,0.0,0.0,,0.3180384235351359,,
RUT:Line:31,31,Ruter,63,6600.0,104.76190476190476,33201.763641586185,527.0121212950188,333.0,5.03057024872518,18.11005289541065,11056.1872926482,21236.795487653417,14985.0,1.417203569412974,0.15270630725851353,0.16740609404007994,0.16005620064929674
