mode,experiment,graph,attack_type,run_id,removal_type,step,removed_nodes,node_removed,flow,flow_ratio
all,exp1,oslo_only,random,4,single,2,NSR:Quay:7520,NSR:Quay:7520,3793650.0,0.9975965015159922
all,exp1,oslo_only,random,4,single,3,NSR:Quay:577,NSR:Quay:577,3784910.0,0.9952981889612627
all,exp1,oslo_only,random,4,single,4,NSR:Quay:10839,NSR:Quay:10839,3797200.0,0.9985300266383366
all,exp1,oslo_only,random,4,single,5,NSR:Quay:11037,NSR:Quay:11037,3797650.0,0.9986483608087746
all,exp1,oslo_only,random,4,single,6,NSR:Quay:7183,NSR:Quay:7183,3798350.0,0.9988324361850115
all,exp1,oslo_only,random,4,single,7,NSR:Quay:105306,NSR:Quay:105306,3787500.0,0.9959792678533392
all,exp1,oslo_only,random,4,single,8,NSR:Quay:11942,NSR:Quay:11942,3791450.0,0.9970179789049619
all,exp1,oslo_only,random,4,single,9,NSR:Quay:569,NSR:Quay:569,3798350.0,0.9988324361850115
all,exp1,oslo_only,random,4,single,10,NSR:Quay:11970,NSR:Quay:11970,3791500.0,0.9970311271461216
all,exp1,oslo_only,random,4,cumulative,1,['NSR:Quay:564'],,3712670.0,0.9763016101336124
all,exp1,oslo_only,random,4,cumulative,2,"['NSR:Quay:564', 'NSR:Quay:7520']",,3707970.0,0.9750656754645931
all,exp1,oslo_only,random,4,cumulative,3,"['NSR:Quay:577', 'NSR:Quay:564', 'NSR:Quay:7520']",,3694530.0,0.9715314282408443
all,exp1,oslo_only,random,4,cumulative,4,"['NSR:Quay:577', 'NSR:Quay:564', 'NSR:Quay:10839', 'NSR:Quay:7520']",,3693380.0,0.9712290186941693
all,exp1,oslo_only,random,4,cumulative,5,"['NSR:Quay:577', 'NSR:Quay:10839', 'NSR:Quay:11037', 'NSR:Quay:7520', 'NSR:Quay:564']",,3692680.0,0.9710449433179323
all,exp1,oslo_only,random,4,cumulative,6,"['NSR:Quay:577', 'NSR:Quay:10839', 'NSR:Quay:11037', 'NSR:Quay:7520', 'NSR:Quay:7183', 'NSR:Quay:564']",,3692680.0,0.9710449433179323
all,exp1,oslo_only,random,4,cumulative,7,"['NSR:Quay:577', 'NSR:Quay:10839', 'NSR:Quay:11037', 'NSR:Quay:7520', 'NSR:Quay:7183', 'NSR:Quay:564', 'NSR:Quay:105306']",,3681830.0,0.9681917749862601
all,exp1,oslo_only,random,4,cumulative,8,"['NSR:Quay:577', 'NSR:Quay:10839', 'NSR:Quay:7183', 'NSR:Quay:11942', 'NSR:Quay:11037', 'NSR:Quay:7520', 'NSR:Quay:564', 'NSR:Quay:105306']",,3674930.0,0.9663773177062105
all,exp1,oslo_only,random,4,cumulative,9,"['NSR:Quay:577', 'NSR:Quay:10839', 'NSR:Quay:7183', 'NSR:Quay:569', 'NSR:Quay:11942', 'NSR:Quay:11037', 'NSR:Quay:7520', 'NSR:Quay:564', 'NSR:Quay:105306']",,3674930.0,0.9663773177062105
all,exp1,oslo_only,random,4,cumulative,10,"['NSR:Quay:577', 'NSR:Quay:10839', 'NSR:Quay:7183', 'NSR:Quay:569', 'NSR:Quay:11942', 'NSR:Quay:11037', 'NSR:Quay:7520', 'NSR:Quay:11970', 'NSR:Quay:564', 'NSR:Quay:105306']",,3670430.0,0.9651939760018302
all,exp1,oslo_only,random,5,single,1,NSR:Quay:566,NSR:Quay:566,3792750.0,0.9973598331751161
all,exp1,oslo_only,random,5,single,2,NSR:Quay:1,NSR:Quay:1,2951630.0,0.7761748610888322
all,exp1,oslo_only,random,5,single,3,NSR:Quay:7169,NSR:Quay:7169,3773050.0,0.9921794261581628
all,exp1,oslo_only,random,5,single,4,NSR:Quay:11827,NSR:Quay:11827,3795750.0,0.998148727644703
all,exp1,oslo_only,random,5,single,5,NSR:Quay:101886,NSR:Quay:101886,3797500.0,0.9986089160852952
all,exp1,oslo_only,random,5,single,6,NSR:Quay:7258,NSR:Quay:7258,3663950.0,0.9634899639475227
all,exp1,oslo_only,random,5,single,7,NSR:Quay:11928,NSR:Quay:11928,3670350.0,0.9651729388159745
all,exp1,oslo_only,random,5,single,8,NSR:Quay:105274,NSR:Quay:105274,3798350.0,0.9988324361850115
all,exp1,oslo_only,random,5,single,9,NSR:Quay:11976,NSR:Quay:11976,3798350.0,0.9988324361850115
all,exp1,oslo_only,random,5,single,10,NSR:Quay:870,NSR:Quay:870,2974030.0,0.7820652731284136
all,exp1,oslo_only,random,5,cumulative,1,['NSR:Quay:566'],,3792750.0,0.9973598331751161
all,exp1,oslo_only,random,5,cumulative,2,"['NSR:Quay:1', 'NSR:Quay:566']",,2946030.0,0.7747022580789368
all,exp1,oslo_only,random,5,cumulative,3,"['NSR:Quay:1', 'NSR:Quay:7169', 'NSR:Quay:566']",,2920730.0,0.7680492480520881
all,exp1,oslo_only,random,5,cumulative,4,"['NSR:Quay:1', 'NSR:Quay:7169', 'NSR:Quay:566', 'NSR:Quay:11827']",,2918130.0,0.7673655395117795
all,exp1,oslo_only,random,5,cumulative,5,"['NSR:Quay:1', 'NSR:Quay:566', 'NSR:Quay:11827', 'NSR:Quay:101886', 'NSR:Quay:7169']",,2917280.0,0.7671420194120633
all,exp1,oslo_only,random,5,cumulative,6,"['NSR:Quay:1', 'NSR:Quay:566', 'NSR:Quay:11827', 'NSR:Quay:101886', 'NSR:Quay:7258', 'NSR:Quay:7169']",,2782880.0,0.7317995471745744
all,exp1,oslo_only,random,5,cumulative,7,"['NSR:Quay:1', 'NSR:Quay:566', 'NSR:Quay:11827', 'NSR:Quay:101886', 'NSR:Quay:7258', 'NSR:Quay:7169', 'NSR:Quay:11928']",,2654880.0,0.6981400498055376
all,exp1,oslo_only,random,5,cumulative,8,"['NSR:Quay:566', 'NSR:Quay:11827', 'NSR:Quay:101886', 'NSR:Quay:7258', 'NSR:Quay:11928', 'NSR:Quay:1', 'NSR:Quay:105274', 'NSR:Quay:7169']",,2654880.0,0.6981400498055376
all,exp1,oslo_only,random,5,cumulative,9,"['NSR:Quay:566', 'NSR:Quay:11827', 'NSR:Quay:101886', 'NSR:Quay:7258', 'NSR:Quay:11928', 'NSR:Quay:11976', 'NSR:Quay:1', 'NSR:Quay:105274', 'NSR:Quay:7169']",,2654880.0,0.6981400498055376
all,exp1,oslo_only,random,5,cumulative,10,"['NSR:Quay:870', 'NSR:Quay:566', 'NSR:Quay:11827', 'NSR:Quay:101886', 'NSR:Quay:7258', 'NSR:Quay:11928', 'NSR:Quay:11976', 'NSR:Quay:1', 'NSR:Quay:105274', 'NSR:Quay:7169']",,1830560.0,0.4813728867489396
all,exp1,oslo_only,random,6,single,1,NSR:Quay:11827,NSR:Quay:11827,3795750.0,0.998148727644703
all,exp1,oslo_only,random,6,single,2,NSR:Quay:109952,NSR:Quay:109952,3798350.0,0.9988324361850115
all,exp1,oslo_only,random,6,single,3,NSR:Quay:573,NSR:Quay:573,3774830.0,0.992647503543451
all,exp1,oslo_only,random,6,single,4,NSR:Quay:104410,NSR:Quay:104410,3798300.0,0.9988192879438518
all,exp1,oslo_only,random,6,single,5,NSR:Quay:105306,NSR:Quay:105306,3787500.0,0.9959792678533392
all,exp1,oslo_only,random,6,single,6,NSR:Quay:11985,NSR:Quay:11985,3796450.0,0.9983328030209399
all,exp1,oslo_only,random,6,single,7,NSR:Quay:105273,NSR:Quay:105273,3762170.0,0.9893183688817947
all,exp1,oslo_only,random,6,single,8,NSR:Quay:11977,NSR:Quay:11977,3797750.0,0.9986746572910942
all,exp1,oslo_only,random,6,single,9,NSR:Quay:475,NSR:Quay:475,3508830.0,0.9226988605734211
all,exp1,oslo_only,random,6,single,10,NSR:Quay:554,NSR:Quay:554,3787150.0,0.9958872301652208
all,exp1,oslo_only,random,6,cumulative,1,['NSR:Quay:11827'],,3795750.0,0.998148727644703
all,exp1,oslo_only,random,6,cumulative,2,"['NSR:Quay:109952', 'NSR:Quay:11827']",,3795750.0,0.998148727644703
all,exp1,oslo_only,random,6,cumulative,3,"['NSR:Quay:109952', 'NSR:Quay:573', 'NSR:Quay:11827']",,3772230.0,0.9919637950031425
all,exp1,oslo_only,random,6,cumulative,4,"['NSR:Quay:109952', 'NSR:Quay:573', 'NSR:Quay:104410', 'NSR:Quay:11827']",,3772180.0,0.9919506467619826
all,exp1,oslo_only,random,6,cumulative,5,"['NSR:Quay:105306', 'NSR:Quay:104410', 'NSR:Quay:11827', 'NSR:Quay:109952', 'NSR:Quay:573']",,3761330.0,0.9890974784303104
all,exp1,oslo_only,random,6,cumulative,6,"['NSR:Quay:105306', 'NSR:Quay:11985', 'NSR:Quay:11827', 'NSR:Quay:109952', 'NSR:Quay:104410', 'NSR:Quay:573']",,3759430.0,0.9885978452662387
all,exp1,oslo_only,random,6,cumulative,7,"['NSR:Quay:105306', 'NSR:Quay:11985', 'NSR:Quay:11827', 'NSR:Quay:109952', 'NSR:Quay:104410', 'NSR:Quay:105273', 'NSR:Quay:573']",,3723250.0,0.9790837779630219
all,exp1,oslo_only,random,6,cumulative,8,"['NSR:Quay:11985', 'NSR:Quay:11827', 'NSR:Quay:109952', 'NSR:Quay:573', 'NSR:Quay:104410', 'NSR:Quay:11977', 'NSR:Quay:105273', 'NSR:Quay:105306']",,3722650.0,0.9789259990691045
all,exp1,oslo_only,random,6,cumulative,9,"['NSR:Quay:11985', 'NSR:Quay:11827', 'NSR:Quay:109952', 'NSR:Quay:573', 'NSR:Quay:104410', 'NSR:Quay:11977', 'NSR:Quay:475', 'NSR:Quay:105273', 'NSR:Quay:105306']",,3433130.0,0.9027924234575141
all,exp1,oslo_only,random,6,cumulative,10,"['NSR:Quay:11985', 'NSR:Quay:11827', 'NSR:Quay:109952', 'NSR:Quay:573', 'NSR:Quay:104410', 'NSR:Quay:11977', 'NSR:Quay:475', 'NSR:Quay:105273', 'NSR:Quay:105306', 'NSR:Quay:554']",,3427530.0,0.9013198204476187
all,exp1,oslo_only,random,7,single,1,NSR:Quay:104871,NSR:Quay:104871,3762170.0,0.9893183688817947
all,exp1,oslo_only,random,7,single,2,NSR:Quay:7210,NSR:Quay:7210,3798350.0,0.9988324361850115
all,exp1,oslo_only,random,7,single,3,NSR:Quay:573,NSR:Quay:573,3774830.0,0.992647503543451
all,exp1,oslo_only,random,7,single,4,NSR:Quay:11989,NSR:Quay:11989,3798350.0,0.9988324361850115
all,exp1,oslo_only,random,7,single,5,NSR:Quay:100634,NSR:Quay:100634,3725630.0,0.9797096342422275
all,exp1,oslo_only,random,7,single,6,NSR:Quay:101465,NSR:Quay:101465,3759950.0,0.9887345869743005
all,exp1,oslo_only,random,7,single,7,NSR:Quay:551,NSR:Quay:551,3214830.0,0.8453872025539143
all,exp1,oslo_only,random,7,single,8,NSR:Quay:104410,NSR:Quay:104410,3798300.0,0.9988192879438518
