from,to,lineId,lineCode,mode,authority,travelTimeSec,tripsInFeed,tripsOn2025_11_17
NSR:Quay:11048,NSR:Quay:11860,NBU:Line:a7c15243-8873-4aee-a8b4-8d22e8ad31dc,FB5,bus,Flybussen Connect,120,47,47
NSR:Quay:11860,NSR:Quay:11852,NBU:Line:a7c15243-8873-4aee-a8b4-8d22e8ad31dc,FB5,bus,Flybussen Connect,240,47,47
NSR:Quay:11852,NSR:Quay:11551,NBU:Line:a7c15243-8873-4aee-a8b4-8d22e8ad31dc,FB5,bus,Flybussen Connect,120,47,47
NSR:Quay:11551,NSR:Quay:11559,NBU:Line:a7c15243-8873-4aee-a8b4-8d22e8ad31dc,FB5,bus,Flybussen Connect,120,47,47
NSR:Quay:11559,NSR:Quay:11531,NBU:Line:a7c15243-8873-4aee-a8b4-8d22e8ad31dc,FB5,bus,Flybussen Connect,60,47,47
NSR:Quay:11531,NSR:Quay:11514,NBU:Line:a7c15243-8873-4aee-a8b4-8d22e8ad31dc,FB5,bus,Flybussen Connect,120,47,47
NSR:Quay:11514,NSR:Quay:11488,NBU:Line:a7c15243-8873-4aee-a8b4-8d22e8ad31dc,FB5,bus,Flybussen Connect,60,47,47
NSR:Quay:11488,NSR:Quay:104066,NBU:Line:a7c15243-8873-4aee-a8b4-8d22e8ad31dc,FB5,bus,Flybussen Connect,60,47,47
NSR:Quay:104066,NSR:Quay:104058,NBU:Line:a7c15243-8873-4aee-a8b4-8d22e8ad31dc,FB5,bus,Flybussen Connect,120,39,47
NSR:Quay:104058,NSR:Quay:101888,NBU:Line:a7c15243-8873-4aee-a8b4-8d22e8ad31dc,FB5,bus,Flybussen Connect,120,39,47
NSR:Quay:101888,NSR:Quay:7194,NBU:Line:a7c15243-8873-4aee-a8b4-8d22e8ad31dc,FB5,bus,Flybussen Connect,240,39,47
NSR:Quay:7194,NSR:Quay:7520,NBU:Line:a7c15243-8873-4aee-a8b4-8d22e8ad31dc,FB5,bus,Flybussen Connect,240,24,47
NSR:Quay:7520,NSR:Quay:7574,NBU:Line:a7c15243-8873-4aee-a8b4-8d22e8ad31dc,FB5,bus,Flybussen Connect,240,24,47
NSR:Quay:11970,NSR:Quay:7520,NBU:Line:a7c15243-8873-4aee-a8b4-8d22e8ad31dc,FB5,bus,Flybussen Connect,240,6,47
NSR:Quay:7520,NSR:Quay:7573,NBU:Line:a7c15243-8873-4aee-a8b4-8d22e8ad31dc,FB5,bus,Flybussen Connect,300,6,47
NSR:Quay:7573,NSR:Quay:104062,NBU:Line:a7c15243-8873-4aee-a8b4-8d22e8ad31dc,FB5,bus,Flybussen Connect,60,37,47
NSR:Quay:104062,NSR:Quay:104065,NBU:Line:a7c15243-8873-4aee-a8b4-8d22e8ad31dc,FB5,bus,Flybussen Connect,60,37,47
NSR:Quay:104065,NSR:Quay:11487,NBU:Line:a7c15243-8873-4aee-a8b4-8d22e8ad31dc,FB5,bus,Flybussen Connect,60,37,47
NSR:Quay:11487,NSR:Quay:11513,NBU:Line:a7c15243-8873-4aee-a8b4-8d22e8ad31dc,FB5,bus,Flybussen Connect,60,37,47
NSR:Quay:11513,NSR:Quay:11528,NBU:Line:a7c15243-8873-4aee-a8b4-8d22e8ad31dc,FB5,bus,Flybussen Connect,120,37,47
NSR:Quay:11528,NSR:Quay:11557,NBU:Line:a7c15243-8873-4aee-a8b4-8d22e8ad31dc,FB5,bus,Flybussen Connect,60,37,47
NSR:Quay:11557,NSR:Quay:11548,NBU:Line:a7c15243-8873-4aee-a8b4-8d22e8ad31dc,FB5,bus,Flybussen Connect,60,37,47
NSR:Quay:11548,NSR:Quay:11853,NBU:Line:a7c15243-8873-4aee-a8b4-8d22e8ad31dc,FB5,bus,Flybussen Connect,180,37,47
NSR:Quay:11853,NSR:Quay:11861,NBU:Line:a7c15243-8873-4aee-a8b4-8d22e8ad31dc,FB5,bus,Flybussen Connect,120,37,47
NSR:Quay:11861,NSR:Quay:11049,NBU:Line:a7c15243-8873-4aee-a8b4-8d22e8ad31dc,FB5,bus,Flybussen Connect,60,37,47
NSR:Quay:11049,NSR:Quay:102016,NBU:Line:a7c15243-8873-4aee-a8b4-8d22e8ad31dc,FB5,bus,Flybussen Connect,60,37,47
NSR:Quay:102016,NSR:Quay:11083,NBU:Line:a7c15243-8873-4aee-a8b4-8d22e8ad31dc,FB5,bus,Flybussen Connect,60,37,47
NSR:Quay:11083,NSR:Quay:11069,NBU:Line:a7c15243-8873-4aee-a8b4-8d22e8ad31dc,FB5,bus,Flybussen Connect,120,37,47
NSR:Quay:11069,NSR:Quay:11116,NBU:Line:a7c15243-8873-4aee-a8b4-8d22e8ad31dc,FB5,bus,Flybussen Connect,60,37,47
NSR:Quay:11116,NSR:Quay:11122,NBU:Line:a7c15243-8873-4aee-a8b4-8d22e8ad31dc,FB5,bus,Flybussen Connect,60,37,47
NSR:Quay:11122,NSR:Quay:11129,NBU:Line:a7c15243-8873-4aee-a8b4-8d22e8ad31dc,FB5,bus,Flybussen Connect,60,37,47
NSR:Quay:11129,NSR:Quay:11144,NBU:Line:a7c15243-8873-4aee-a8b4-8d22e8ad31dc,FB5,bus,Flybussen Connect,60,37,47
