id,stopPlaceId,name,lat,lon,modes,stopType
NSR:Quay:8153,NSR:Quay:8153,Kjerulfs gate,59.955966,11.051798,bus,bus
NSR:Quay:8099,NSR:Quay:8099,Lillestrøm bussterminal,59.953964,11.042944,bus,bus
NSR:Quay:11148,NSR:Quay:11148,Helsfyr T,59.912619,10.800422,bus,bus
NSR:Quay:11125,NSR:Quay:11125,Fyrstikktorget,59.914728,10.800864,bus,bus
NSR:Quay:11121,NSR:Quay:11121,Valle,59.917938,10.798919,bus,bus
NSR:Quay:11114,NSR:Quay:11114,Gladengveien,59.9199,10.794126,bus,bus
NSR:Quay:11070,NSR:Quay:11070,Hasle,59.923478,10.792517,bus,bus
NSR:Quay:11084,NSR:Quay:11084,Einars vei,59.92465,10.787115,bus,bus
NSR:Quay:102015,NSR:Quay:102015,Fougners vei,59.924853,10.780756,bus,bus
NSR:Quay:11089,NSR:Quay:11089,Carl Berners plass T,59.926031,10.777328,bus,bus
NSR:Quay:11048,NSR:Quay:11048,Carl Berners plass,59.926625,10.775209,bus,bus
NSR:Quay:11860,NSR:Quay:11860,Københavngata,59.929262,10.769448,bus,bus
NSR:Quay:11852,NSR:Quay:11852,Sannergata,59.928443,10.759636,bus,bus
NSR:Quay:11551,NSR:Quay:11551,Alexander Kiellands plass,59.927867,10.748896,bus,bus
NSR:Quay:11559,NSR:Quay:11559,Falck Ytters plass,59.925861,10.744693,bus,bus
NSR:Quay:11531,NSR:Quay:11531,St. Hanshaugen,59.923356,10.739447,bus,bus
NSR:Quay:11514,NSR:Quay:11514,Sofies plass,59.924256,10.735037,bus,bus
NSR:Quay:11488,NSR:Quay:11488,Bislett,59.925756,10.731738,bus,bus
NSR:Quay:111169,NSR:Quay:111169,Homansbyen,59.922837,10.725628,bus,bus
NSR:Quay:8225,NSR:Quay:8225,Uranienborgveien,59.921079,10.722348,bus,bus
NSR:Quay:11475,NSR:Quay:11475,Riddervolds plass,59.918301,10.718713,bus,bus
NSR:Quay:7739,NSR:Quay:7739,Solli,59.915234,10.717219,bus,bus
NSR:Quay:7790,NSR:Quay:7790,Observatoriegata,59.912723,10.719314,bus,bus
NSR:Quay:7692,NSR:Quay:7692,Tjuvholmen,59.910114,10.721237,bus,bus
NSR:Quay:10794,NSR:Quay:10794,Skullerud,59.866984,10.84,bus,bus
NSR:Quay:10804,NSR:Quay:10804,Langerudhjemmet,59.869165,10.83646,bus,bus
NSR:Quay:10944,NSR:Quay:10944,Langerudveien,59.873715,10.829816,bus,bus
NSR:Quay:10940,NSR:Quay:10940,Lille Langerud,59.87656,10.828346,bus,bus
NSR:Quay:10920,NSR:Quay:10920,Abildsø,59.880323,10.825763,bus,bus
NSR:Quay:10924,NSR:Quay:10924,Smedberg,59.884904,10.8177,bus,bus
NSR:Quay:10927,NSR:Quay:10927,Alléen,59.888539,10.813854,bus,bus
NSR:Quay:10848,NSR:Quay:10848,Sandstuveien,59.891278,10.809748,bus,bus
NSR:Quay:10841,NSR:Quay:10841,Ryensvingen,59.894483,10.805912,bus,bus
NSR:Quay:10831,NSR:Quay:10831,Ryen T,59.895974,10.802726,bus,bus
NSR:Quay:10836,NSR:Quay:10836,Ryenberget,59.897529,10.802685,bus,bus
NSR:Quay:10868,NSR:Quay:10868,Manglerudveien,59.899977,10.803393,bus,bus
NSR:Quay:10873,NSR:Quay:10873,Furuveien,59.903872,10.80308,bus,bus
NSR:Quay:12116,NSR:Quay:12116,Eirik Raudes vei,59.902506,10.7969,bus,bus
NSR:Quay:12105,NSR:Quay:12105,Kværner,59.901995,10.787635,bus,bus
NSR:Quay:12109,NSR:Quay:12109,Lodalen,59.903443,10.777709,bus,bus
NSR:Quay:104409,NSR:Quay:104409,Middelalderparken,59.90642,10.764182,bus,bus
NSR:Quay:7170,NSR:Quay:7170,Bjørvika,59.908211,10.756903,bus,bus
NSR:Quay:7159,NSR:Quay:7159,Jernbanetorget,59.909486,10.748067,bus,bus
NSR:Quay:101778,NSR:Quay:101778,Kvadraturen,59.910232,10.74512,bus,bus
NSR:Quay:101777,NSR:Quay:101777,Wessels plass,59.91229,10.739278,bus,bus
