id,stopPlaceId,name,lat,lon,modes,stopType
NSR:Quay:11427,NSR:Quay:11427,Brekkehagan,59.964942,10.766486,bus,bus
NSR:Quay:11425,NSR:Quay:11425,Korsvoll,59.962833,10.765821,bus,bus
NSR:Quay:11413,NSR:Quay:11413,Skibakken,59.959462,10.764094,bus,bus
NSR:Quay:11356,NSR:Quay:11356,Øvre Stabburvei,59.954206,10.760725,bus,bus
NSR:Quay:11363,NSR:Quay:11363,Blåsbortveien,59.950792,10.760832,bus,bus
NSR:Quay:11368,NSR:Quay:11368,Godals vei,59.947355,10.760049,bus,bus
NSR:Quay:11724,NSR:Quay:11724,Kristoffer Aamots bro,59.946765,10.76422,bus,bus
NSR:Quay:11796,NSR:Quay:11796,Fernanda Nissen skole,59.946851,10.769603,bus,bus
NSR:Quay:12295,NSR:Quay:12295,Brattlikollen T,59.886435,10.800483,bus,bus
NSR:Quay:10627,NSR:Quay:10627,Karlsrud T,59.879654,10.805754,bus,bus
NSR:Quay:10690,NSR:Quay:10690,Blåfjellet,59.86867,10.814817,bus,bus
NSR:Quay:10685,NSR:Quay:10685,Bergkrystallen T,59.866676,10.82193,bus,bus
NSR:Quay:10681,NSR:Quay:10681,Bergkrystallen,59.867035,10.821702,metro,metro
NSR:Quay:10667,NSR:Quay:10667,Munkelia,59.868879,10.812746,metro,metro
NSR:Quay:10630,NSR:Quay:10630,Lambertseter,59.873562,10.810324,metro,metro
NSR:Quay:12286,NSR:Quay:12286,Karlsrud,59.880459,10.805456,metro,metro
NSR:Quay:12292,NSR:Quay:12292,Brattlikollen,59.887367,10.80114,metro,metro
NSR:Quay:10819,NSR:Quay:10819,Ryen,59.895653,10.804898,metro,metro
NSR:Quay:10851,NSR:Quay:10851,Manglerud,59.89799,10.81284,metro,metro
NSR:Quay:10883,NSR:Quay:10883,Høyenhall,59.906187,10.819613,metro,metro
NSR:Quay:11176,NSR:Quay:11176,Brynseng,59.90921,10.812089,metro,metro
NSR:Quay:11135,NSR:Quay:11135,Helsfyr,59.912697,10.801446,metro,metro
NSR:Quay:11107,NSR:Quay:11107,Ensjø,59.913797,10.78777,metro,metro
NSR:Quay:11895,NSR:Quay:11895,Tøyen,59.915679,10.775828,metro,metro
NSR:Quay:11929,NSR:Quay:11929,Grønland,59.91283,10.76018,metro,metro
NSR:Quay:7184,NSR:Quay:7184,Jernbanetorget,59.912268,10.751326,metro,metro
NSR:Quay:7255,NSR:Quay:7255,Stortinget,59.913478,10.743221,metro,metro
NSR:Quay:7334,NSR:Quay:7334,Nationaltheatret,59.91535,10.73233,metro,metro
NSR:Quay:8028,NSR:Quay:8028,Majorstuen,59.930279,10.714647,metro,metro
NSR:Quay:11441,NSR:Quay:11441,Frøen,59.934594,10.709318,metro,metro
NSR:Quay:11447,NSR:Quay:11447,Steinerud,59.939153,10.70438,metro,metro
NSR:Quay:11461,NSR:Quay:11461,Vinderen,59.9422,10.704586,metro,metro
NSR:Quay:11479,NSR:Quay:11479,Gaustad,59.9457,10.71005,metro,metro
NSR:Quay:11506,NSR:Quay:11506,Ris,59.948016,10.704774,metro,metro
NSR:Quay:11517,NSR:Quay:11517,Slemdal,59.950938,10.694447,metro,metro
NSR:Quay:11553,NSR:Quay:11553,Gråkammen,59.955042,10.701711,metro,metro
NSR:Quay:11561,NSR:Quay:11561,Gulleråsen,59.955796,10.696797,metro,metro
NSR:Quay:11569,NSR:Quay:11569,Vettakollen,59.959784,10.695834,metro,metro
NSR:Quay:11570,NSR:Quay:11570,Skådalen,59.961867,10.690778,metro,metro
NSR:Quay:11576,NSR:Quay:11576,Midtstuen,59.961366,10.683024,metro,metro
NSR:Quay:11593,NSR:Quay:11593,Besserud,59.957981,10.67417,metro,metro
NSR:Quay:11606,NSR:Quay:11606,Holmenkollen,59.960247,10.663143,metro,metro
NSR:Quay:11609,NSR:Quay:11609,Voksenlia,59.966968,10.654778,metro,metro
